Journal,ISSN,eISSN,Category,IF,Quartile,Rank,Open_Access,Edition
Analyses of Social Issues and Public Policy,1529-7489,1530-2415,"PSYCHOLOGY, SOCIAL",1.5,Q4, 58/63 ,15%,SSCI
CANADIAN PUBLIC POLICY-ANALYSE DE POLITIQUES,0317-0861,1911-9917,PUBLIC ADMINISTRATION,3.1,Q2, 17/49 ,0%,SSCI
Public Policy and Administration,0952-0767,1749-4192,PUBLIC ADMINISTRATION,3.1,Q2, 17/49 ,26.92%,SSCI
Public Health Genomics,1662-4246,1662-8063,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.7,Q4, 168/207 ,46.51%,SCIE
Public Health Genomics,1662-4246,1662-8063,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.7,Q4, 145/180 ,46.51%,SSCI
Journal of Family Studies,1322-9400,1839-3543,FAMILY STUDIES,1.6,Q3, 33/46 ,13.55%,SSCI
Journal of Immigrant & Refugee Studies,1556-2948,1556-2956,ETHNIC STUDIES,1.2,Q4, 17/20 ,16.83%,SSCI
Epidemiologia & Prevenzione,1120-9763,2385-1937,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.4,Q4, 179/207 ,0%,SCIE
Epidemiologia & Prevenzione,1120-9763,2385-1937,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.4,Q4, 155/180 ,0%,SSCI
Critical Policy Studies,1946-0171,1946-018X,PUBLIC ADMINISTRATION,1.5,Q4, 39/49 ,34.82%,SSCI
International Journal of Sexual Health,1931-7611,1931-762X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.0,Q3, 129/180 ,10.64%,SSCI
Personality and Mental Health,1932-8621,1932-863X,"PSYCHOLOGY, SOCIAL",2.7,Q3, 32/63 ,23.71%,SSCI
Health Systems & Reform,2328-8604,2328-8620,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",4.1,Q2, 51/180 ,92.86%,SSCI
Injury Epidemiology,,2197-1714,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.2,Q3, 141/207 ,100%,SCIE
Injury Epidemiology,,2197-1714,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.2,Q3, 118/180 ,100%,SSCI
International Perspectives on Sexual and Reproductive Health,1944-0391,1944-0405,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",4.4,Q1, 45/180 ,0%,SSCI
Journal of Nepal Medical Association,0028-2715,1815-672X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0.5,Q4, 203/207 ,76.08%,SCIE
Journal of Homeland Security and Emergency Management,2194-6361,1547-7355,PUBLIC ADMINISTRATION,0.8,Q4, 44/49 ,6.25%,SSCI
FLUORIDE,0015-4725,2253-4083,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0.9,Q4, 192/207 ,0%,SCIE
Medicina del Lavoro,0025-7818,0025-7818,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.7,Q3, 125/207 ,0%,SCIE
Saude e Sociedade,0104-1290,1984-0470,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0.6,Q4, 179/180 ,92.02%,SSCI
Sexual and Reproductive Health Matters,,2641-0397,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",6.0,Q1, 17/180 ,99.33%,SSCI
Social Influence,1553-4510,1553-4529,"PSYCHOLOGY, SOCIAL",1.7,Q4, 54/63 ,60%,SSCI
Journal of Correctional Health Care,1078-3458,1940-5200,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.2,Q4, 166/180 ,0%,SSCI
International Review of Social Psychology,2397-8570,2397-8570,"PSYCHOLOGY, SOCIAL",2.5,Q3, 39/63 ,100%,SSCI
MEDYCYNA PRACY,0465-5893,2353-1339,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.0,Q4, 189/207 ,99.42%,SCIE
AJAR-African Journal of AIDS Research,1608-5906,1727-9445,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.2,Q4, 186/207 ,23.28%,SCIE
AJAR-African Journal of AIDS Research,1608-5906,1727-9445,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.2,Q4, 166/180 ,23.28%,SSCI
CHILDRENS HEALTH CARE,0273-9615,1532-6888,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0.9,Q4, 175/180 ,4.76%,SSCI
Anthropology & Medicine,1364-8470,1469-2910,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.8,Q4, 140/180 ,25.81%,SSCI
BMJ Sexual & Reproductive Health,2515-1991,2515-2009,FAMILY STUDIES,3.3,Q1, 10/46 ,27.27%,SSCI
Public Health Ethics,1754-9973,1754-9981,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.1,Q3, 146/207 ,36.47%,SCIE
Public Health Ethics,1754-9973,1754-9981,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.1,Q3, 122/180 ,36.47%,SSCI
History of the Family,1081-602X,1873-5398,FAMILY STUDIES,1.0,Q4, 40/46 ,31.48%,SSCI
BMC Ecology and Evolution,,2730-7182,EVOLUTIONARY BIOLOGY,2.2,Q3, 35/52 ,99.72%,SCIE
International Journal of Transgender Health,2689-5269,2689-5277,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",4.6,Q2, 63/207 ,21.64%,SCIE
International Journal of Transgender Health,2689-5269,2689-5277,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",4.6,Q1, 41/180 ,21.64%,SSCI
Journal of Arthropod-Borne Diseases,2322-1984,2322-2271,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0.9,Q4, 192/207 ,65.77%,SCIE
JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY,0022-0930,1608-3202,EVOLUTIONARY BIOLOGY,0.6,Q4, 52/52 ,1.88%,SCIE
Race and Justice,2153-3687,2153-3687,ETHNIC STUDIES,2.1,Q2, 10/20 ,2.92%,SSCI
CANADIAN PUBLIC ADMINISTRATION-ADMINISTRATION PUBLIQUE DU CANADA,0008-4840,1754-7121,PUBLIC ADMINISTRATION,1.0,Q4, 42/49 ,3.70%,SSCI
Longitudinal and Life Course Studies,1757-9597,1757-9597,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0.9,Q4, 175/180 ,17.86%,SSCI
RADIOPROTECTION,0033-8451,1769-700X,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.1,Q4, 188/207 ,42.45%,SCIE
Human Service Organizations Management Leadership & Governance,2330-3131,2330-314X,PUBLIC ADMINISTRATION,1.2,Q4, 41/49 ,7.53%,SSCI
Anales del Sistema Sanitario De Navarra,1137-6627,2340-3527,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.0,Q4, 189/207 ,94.69%,SCIE
Anales del Sistema Sanitario De Navarra,1137-6627,2340-3527,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.0,Q4, 173/180 ,94.69%,SSCI
Sante Publique,0995-3914,2104-3841,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0.3,Q4, 206/207 ,0%,SCIE
INSECT SYSTEMATICS & EVOLUTION,1399-560X,1876-312X,EVOLUTIONARY BIOLOGY,1.2,Q4, 48/52 ,3.03%,SCIE
Arts & Health,1753-3015,1753-3023,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.4,Q4, 155/180 ,25.32%,SSCI
International Journal of Mental Health Promotion,1462-3730,2049-8543,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.3,Q4, 160/180 ,98.58%,SSCI
Australian and New Zealand Journal of Family Therapy,0814-723X,1467-8438,FAMILY STUDIES,0.7,Q4, 43/46 ,13.79%,SSCI
Diving and Hyperbaric Medicine,1833-3516,1833-3516,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0.9,Q4, 192/207 ,0%,SCIE
Journal of Chinese Governance,2381-2346,2381-2354,PUBLIC ADMINISTRATION,3.0,Q2, 20/49 ,6.25%,SSCI
JOURNAL OF FAMILY HISTORY,0363-1990,1552-5473,FAMILY STUDIES,0.6,Q4, 45/46 ,7.06%,SSCI
CHILD & FAMILY BEHAVIOR THERAPY,0731-7107,1545-228X,FAMILY STUDIES,0.5,Q4, 46/46 ,4.08%,SSCI
Families Relationships and Societies,2046-7435,2046-7443,FAMILY STUDIES,1.4,Q4, 37/46 ,8.55%,SSCI
ANTHROPOLOGICAL SCIENCE,0918-7960,1348-8570,EVOLUTIONARY BIOLOGY,0.7,Q4, 51/52 ,100%,SCIE
Journal of Mens Health,1875-6867,1875-6859,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0.7,Q4, 199/207 ,70.80%,SCIE
Journal of Mens Health,1875-6867,1875-6859,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0.7,Q4, 178/180 ,70.80%,SSCI
Sahara J-Journal of Social Aspects of HIV-AIDS,1729-0376,1813-4424,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.1,Q4, 169/180 ,100%,SSCI
Puerto Rico Health Sciences Journal,0738-0658,2373-6011,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0.5,Q4, 203/207 ,0%,SCIE
Integrative Organismal Biology,,2517-4843,EVOLUTIONARY BIOLOGY,1.5,Q4, 46/52 ,79.63%,SCIE
Zdravstveno Varstvo,0351-0026,1854-2476,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.5,Q4, 154/180 ,98.13%,SSCI
Salud Colectiva,1669-2381,1851-8265,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0.8,Q4, 177/180 ,100%,SSCI
Transylvanian Review of Administrative Sciences,1842-2845,2247-8310,PUBLIC ADMINISTRATION,1.0,Q4, 42/49 ,91.30%,SSCI
Souls,1099-9949,1548-3843,ETHNIC STUDIES,0.2,Q4, 20/20 ,0%,SSCI
MEDICC Review,1555-7960,,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.1,Q3, 146/207 ,87.93%,SCIE
MEDICC Review,1555-7960,,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.1,Q3, 122/180 ,87.93%,SSCI
International Journal of Law Policy and the Family,1360-9939,1464-3707,FAMILY STUDIES,0.8,Q4, 42/46 ,14.29%,SSCI
Israel Journal of Ecology & Evolution,1565-9801,2224-4662,EVOLUTIONARY BIOLOGY,1.2,Q4, 48/52 ,0%,SCIE
Lex Localis-Journal of Local Self-Government,1581-5374,1855-363X,PUBLIC ADMINISTRATION,0.4,Q4, 46/49 ,5.96%,SSCI
Journal of Latinx Psychology,2578-8086,2578-8094,"PSYCHOLOGY, SOCIAL",2.6,Q3, 37/63 ,0%,SSCI
JFR-Journal of Family Research,,2699-2337,FAMILY STUDIES,2.8,Q2, 13/46 ,100%,SSCI
Archives des Maladies Professionnelles et de l Environnement,1775-8785,1778-4190,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",0.4,Q4, 205/207 ,1.98%,SCIE
Gestion y Politica Publica,1405-1079,,PUBLIC ADMINISTRATION,0.6,Q4, 45/49 ,0%,SSCI
American Journal of Biological Anthropology,2692-7691,2692-7691,EVOLUTIONARY BIOLOGY,,, N/A ,19.49%,SCIE
Gedrag & Organisatie,0921-5077,1875-7235,"PSYCHOLOGY, SOCIAL",0.5,Q4, 63/63 ,0%,SSCI
International Journal of Social Psychology,0213-4748,1579-3680,"PSYCHOLOGY, SOCIAL",1.8,Q4, 52/63 ,2.74%,SSCI
Science of Diabetes Self-Management and Care,2635-0106,2635-0114,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.9,Q3, 133/180 ,1.41%,SSCI
Revista del CLAD Reforma y Democracia,1315-2378,1315-2378,PUBLIC ADMINISTRATION,0.2,Q4, 48/49 ,0%,SSCI
Civil Szemle,1786-3341,1786-3341,PUBLIC ADMINISTRATION,0.4,Q4, 46/49 ,0%,SSCI
Amme Idaresi Dergisi,1300-1795,1300-1795,PUBLIC ADMINISTRATION,0.0,Q4, 49/49 ,0%,SSCI
Journal of Prevention,2731-5533,2731-5541,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",,, N/A ,13.46%,SSCI
Copyright (c) 2023 Clarivate ,,,,,,,,
BIORESOURCE TECHNOLOGY,0960-8524,1873-2976,AGRICULTURAL ENGINEERING,11.4,Q1, 1/14 ,4.41%,SCIE
JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,0021-8561,1520-5118,"AGRICULTURE, MULTIDISCIPLINARY",6.1,Q1, 6/58 ,3.73%,SCIE
JOURNAL OF DAIRY SCIENCE,0022-0302,1525-3198,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",3.5,Q1, 9/62 ,42.14%,SCIE
JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,0001-4966,1520-8524,ACOUSTICS,2.4,Q2, 12/31 ,19.90%,SCIE
INDUSTRIAL CROPS AND PRODUCTS,0926-6690,1872-633X,AGRICULTURAL ENGINEERING,5.9,Q1, 3/14 ,4.87%,SCIE
INDUSTRIAL CROPS AND PRODUCTS,0926-6690,1872-633X,AGRONOMY,5.9,Q1, 7/88 ,4.87%,SCIE
PLANT AND SOIL,0032-079X,1573-5036,AGRONOMY,4.9,Q1, 13/88 ,19.34%,SCIE
JOURNAL OF SOUND AND VIBRATION,0022-460X,1095-8568,ACOUSTICS,4.7,Q1, 4/31 ,9.21%,SCIE
JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,0022-5142,1097-0010,"AGRICULTURE, MULTIDISCIPLINARY",4.1,Q1, 11/58 ,4.40%,SCIE
POULTRY SCIENCE,0032-5791,1525-3171,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",4.4,Q1, 4/62 ,97.70%,SCIE
JOURNAL OF ANIMAL SCIENCE,0021-8812,1525-3163,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",3.3,Q1, 10/62 ,23.82%,SCIE
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,0167-8809,1873-2305,"AGRICULTURE, MULTIDISCIPLINARY",6.6,Q1, 2/58 ,14.26%,SCIE
COMPUTERS AND ELECTRONICS IN AGRICULTURE,0168-1699,1872-7107,"AGRICULTURE, MULTIDISCIPLINARY",8.3,Q1, 1/58 ,9.20%,SCIE
ULTRASONICS SONOCHEMISTRY,1350-4177,1873-2828,ACOUSTICS,8.4,Q1, 1/31 ,93%,SCIE
Agricultural Water Management,0378-3774,1873-2283,AGRONOMY,6.7,Q1, 3/88 ,14.37%,SCIE
AGRICULTURAL AND FOREST METEOROLOGY,0168-1923,1873-2240,AGRONOMY,6.2,Q1, 6/88 ,14.55%,SCIE
FIELD CROPS RESEARCH,0378-4290,1872-6852,AGRONOMY,5.8,Q1, 8/88 ,15.18%,SCIE
Animals,2076-2615,2076-2615,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",3.0,Q1, 12/62 ,99.41%,SCIE
Agronomy-Basel,,2073-4395,AGRONOMY,3.7,Q1, 16/88 ,99.37%,SCIE
THEORETICAL AND APPLIED GENETICS,0040-5752,1432-2242,AGRONOMY,5.4,Q1, 11/88 ,28.85%,SCIE
BIOMASS & BIOENERGY,0961-9534,1873-2909,AGRICULTURAL ENGINEERING,6.0,Q1, 2/14 ,11.20%,SCIE
CROP SCIENCE,0011-183X,1435-0653,AGRONOMY,2.3,Q2, 35/88 ,30.65%,SCIE
POSTHARVEST BIOLOGY AND TECHNOLOGY,0925-5214,1873-2356,AGRONOMY,7.0,Q1, 2/88 ,6.10%,SCIE
PEST MANAGEMENT SCIENCE,1526-498X,1526-4998,AGRONOMY,4.1,Q1, 15/88 ,9.41%,SCIE
AGRONOMY JOURNAL,0002-1962,1435-0645,AGRONOMY,2.1,Q2, 40/88 ,24.68%,SCIE
ULTRASOUND IN OBSTETRICS & GYNECOLOGY,0960-7692,1469-0705,ACOUSTICS,7.1,Q1, 2/31 ,16.88%,SCIE
ANIMAL FEED SCIENCE AND TECHNOLOGY,0377-8401,1873-2216,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",3.2,Q1, 11/62 ,13.22%,SCIE
IEEE TRANSACTIONS ON ULTRASONICS FERROELECTRICS AND FREQUENCY CONTROL,0885-3010,1525-8955,ACOUSTICS,3.6,Q1, 6/31 ,16.14%,SCIE
EUPHYTICA,0014-2336,1573-5060,AGRONOMY,1.9,Q2, 43/88 ,13.54%,SCIE
Crop Protection,0261-2194,1873-6904,AGRONOMY,2.8,Q2, 24/88 ,8.33%,SCIE
APPLIED ACOUSTICS,0003-682X,1872-910X,ACOUSTICS,3.4,Q1, 7/31 ,6.02%,SCIE
ULTRASOUND IN MEDICINE AND BIOLOGY,0301-5629,1879-291X,ACOUSTICS,2.9,Q2, 10/31 ,14.06%,SCIE
BIOSYSTEMS ENGINEERING,1537-5110,1537-5129,AGRICULTURAL ENGINEERING,5.1,Q2, 4/14 ,11.40%,SCIE
BIOSYSTEMS ENGINEERING,1537-5110,1537-5129,"AGRICULTURE, MULTIDISCIPLINARY",5.1,Q1, 8/58 ,11.40%,SCIE
Animal,1751-7311,1751-732X,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",3.6,Q1, 7/62 ,97.38%,SCIE
AGRICULTURAL SYSTEMS,0308-521X,1873-2267,"AGRICULTURE, MULTIDISCIPLINARY",6.6,Q1, 2/58 ,30.37%,SCIE
APPLIED ANIMAL BEHAVIOUR SCIENCE,0168-1591,1872-9045,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",2.3,Q2, 18/62 ,21.92%,SCIE
Agriculture-Basel,,2077-0472,AGRONOMY,3.6,Q1, 17/88 ,99.49%,SCIE
EUROPEAN JOURNAL OF AGRONOMY,1161-0301,1873-7331,AGRONOMY,5.2,Q1, 12/88 ,15.23%,SCIE
Transactions of the ASABE,2151-0032,2151-0040,AGRICULTURAL ENGINEERING,1.5,Q3, 10/14 ,0%,SCIE
FOOD POLICY,0306-9192,1873-5657,AGRICULTURAL ECONOMICS & POLICY,6.5,Q1, 2/22 ,33.78%,SCIE
Journal of Integrative Agriculture,2095-3119,,"AGRICULTURE, MULTIDISCIPLINARY",4.8,Q1, 9/58 ,97.03%,SCIE
AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,0002-9092,1467-8276,AGRICULTURAL ECONOMICS & POLICY,4.2,Q2, 6/22 ,20.13%,SCIE
ULTRASONICS,0041-624X,1874-9968,ACOUSTICS,4.2,Q1, 5/31 ,7.41%,SCIE
Agronomy for Sustainable Development,1774-0746,1773-0155,AGRONOMY,7.3,Q1, 1/88 ,50.21%,SCIE
Livestock Science,1871-1413,1878-0490,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",1.8,Q2, 29/62 ,13.22%,SCIE
ANIMAL REPRODUCTION SCIENCE,0378-4320,1873-2232,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",2.2,Q2, 20/62 ,7.93%,SCIE
JOURNAL OF ULTRASOUND IN MEDICINE,0278-4297,1550-9613,ACOUSTICS,2.3,Q2, 15/31 ,6.39%,SCIE
COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS,0010-3624,1532-2416,AGRONOMY,1.8,Q3, 47/88 ,1.30%,SCIE
PLANT PATHOLOGY,0032-0862,1365-3059,AGRONOMY,2.7,Q2, 25/88 ,15.51%,SCIE
British Food Journal,0007-070X,1758-4108,AGRICULTURAL ECONOMICS & POLICY,3.3,Q3, 12/22 ,11.61%,SCIE
EUROPEAN JOURNAL OF PLANT PATHOLOGY,0929-1873,1573-8469,AGRONOMY,1.8,Q3, 47/88 ,13.19%,SCIE
IEEE-ACM Transactions on Audio Speech and Language Processing,2329-9290,2329-9304,ACOUSTICS,5.4,Q1, 3/31 ,18.08%,SCIE
JOURNAL OF VIBRATION AND CONTROL,1077-5463,1741-2986,ACOUSTICS,2.8,Q2, 11/31 ,1.51%,SCIE
SMALL RUMINANT RESEARCH,0921-4488,1879-0941,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",1.8,Q2, 29/62 ,7.75%,SCIE
SHOCK AND VIBRATION,1070-9622,1875-9203,ACOUSTICS,1.6,Q3, 22/31 ,99.02%,SCIE
MOLECULAR BREEDING,1380-3743,1572-9788,AGRONOMY,3.1,Q1, 19/88 ,10%,SCIE
TROPICAL ANIMAL HEALTH AND PRODUCTION,0049-4747,1573-7438,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",1.7,Q3, 33/62 ,5.79%,SCIE
JOURNAL OF AGRICULTURAL SCIENCE,0021-8596,1469-5146,"AGRICULTURE, MULTIDISCIPLINARY",2.0,Q2, 22/58 ,21.26%,SCIE
REPRODUCTION IN DOMESTIC ANIMALS,0936-6768,1439-0531,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",1.7,Q3, 33/62 ,7.35%,SCIE
ANNALS OF APPLIED BIOLOGY,0003-4746,1744-7348,"AGRICULTURE, MULTIDISCIPLINARY",2.6,Q2, 16/58 ,12.39%,SCIE
BRITISH POULTRY SCIENCE,0007-1668,1466-1799,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",2.0,Q2, 24/62 ,11.60%,SCIE
WEED SCIENCE,0043-1745,1550-2759,AGRONOMY,2.5,Q2, 26/88 ,37.07%,SCIE
JOURNAL OF ANIMAL PHYSIOLOGY AND ANIMAL NUTRITION,0931-2439,1439-0396,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",2.7,Q1, 13/62 ,9.89%,SCIE
JOURNAL OF PLANT NUTRITION AND SOIL SCIENCE,1436-8730,1522-2624,AGRONOMY,2.5,Q2, 26/88 ,44.55%,SCIE
AGROFORESTRY SYSTEMS,0167-4366,1572-9680,AGRONOMY,2.2,Q2, 36/88 ,12.89%,SCIE
AGRICULTURAL ECONOMICS,0169-5150,1574-0862,AGRICULTURAL ECONOMICS & POLICY,4.1,Q2, 7/22 ,29.50%,SCIE
Journal of Animal Science and Biotechnology,1674-9782,2049-1891,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",7.0,Q1, 2/62 ,99.74%,SCIE
GENETIC RESOURCES AND CROP EVOLUTION,0925-9864,1573-5109,AGRONOMY,2.0,Q2, 41/88 ,9.93%,SCIE
CANADIAN JOURNAL OF PLANT SCIENCE,0008-4220,1918-1833,AGRONOMY,1.2,Q3, 65/88 ,28.98%,SCIE
Global Change Biology Bioenergy,1757-1693,1757-1707,AGRONOMY,5.6,Q1, 9/88 ,80.57%,SCIE
PRECISION AGRICULTURE,1385-2256,1573-1618,"AGRICULTURE, MULTIDISCIPLINARY",6.2,Q1, 5/58 ,27.76%,SCIE
JOURNAL OF AGRONOMY AND CROP SCIENCE,0931-2250,1439-037X,AGRONOMY,3.5,Q1, 18/88 ,14.17%,SCIE
SPEECH COMMUNICATION,0167-6393,1872-7182,ACOUSTICS,3.2,Q2, 9/31 ,19.65%,SCIE
PLANT BREEDING,0179-9541,1439-0523,AGRONOMY,2.0,Q2, 41/88 ,13.90%,SCIE
Archives of Agronomy and Soil Science,0365-0340,1476-3567,AGRONOMY,2.4,Q2, 30/88 ,1.49%,SCIE
Crop Journal,2095-5421,2214-5141,AGRONOMY,6.6,Q1, 4/88 ,93.41%,SCIE
GENETICS SELECTION EVOLUTION,0999-193X,1297-9686,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",4.1,Q1, 5/62 ,99.58%,SCIE
JOURNAL OF VIBRATION AND ACOUSTICS-TRANSACTIONS OF THE ASME,1048-9002,1528-8927,ACOUSTICS,1.7,Q3, 19/31 ,0.72%,SCIE
ANIMAL GENETICS,0268-9146,1365-2052,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",2.4,Q2, 17/62 ,12.93%,SCIE
AGRICULTURE AND HUMAN VALUES,0889-048X,1572-8366,"AGRICULTURE, MULTIDISCIPLINARY",4.5,Q1, 10/58 ,35.79%,SCIE
JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,0733-9437,1943-4774,AGRICULTURAL ENGINEERING,2.6,Q2, 6/14 ,2.71%,SCIE
Rice,1939-8425,1939-8433,AGRONOMY,5.5,Q1, 10/88 ,99.19%,SCIE
Animal Production Science,1836-0939,1836-5787,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",1.4,Q3, 37/62 ,20.76%,SCIE
WEED TECHNOLOGY,0890-037X,1550-2740,AGRONOMY,1.4,Q3, 58/88 ,39.26%,SCIE
Italian Journal of Animal Science,1594-4077,1828-051X,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",2.5,Q2, 16/62 ,97.20%,SCIE
ANIMAL SCIENCE JOURNAL,1344-3941,1740-0929,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",2.0,Q2, 24/62 ,9.87%,SCIE
Animal Nutrition,2405-6383,2405-6545,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",6.3,Q1, 3/62 ,89.08%,SCIE
WORLDS POULTRY SCIENCE JOURNAL,0043-9339,1743-4777,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",2.7,Q1, 13/62 ,5.63%,SCIE
CIENCIA RURAL,0103-8478,1678-4596,AGRONOMY,0.8,Q4, 72/88 ,97.23%,SCIE
PESQUISA AGROPECUARIA BRASILEIRA,0100-204X,1678-3921,"AGRICULTURE, MULTIDISCIPLINARY",0.8,Q4, 44/58 ,89.62%,SCIE
JOURNAL OF DAIRY RESEARCH,0022-0299,1469-7629,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",2.1,Q2, 22/62 ,24.81%,SCIE
AQUACULTURAL ENGINEERING,0144-8609,1873-5614,AGRICULTURAL ENGINEERING,4.0,Q2, 5/14 ,16.49%,SCIE
REVISTA BRASILEIRA DE ZOOTECNIA-BRAZILIAN JOURNAL OF ANIMAL SCIENCE,1516-3598,1806-9290,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",1.0,Q3, 42/62 ,92%,SCIE
JOURNAL OF APPLIED POULTRY RESEARCH,1056-6171,1537-0437,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",1.9,Q2, 27/62 ,97.50%,SCIE
International Journal of Agricultural and Biological Engineering,1934-6344,1934-6352,AGRICULTURAL ENGINEERING,2.4,Q2, 7/14 ,93.24%,SCIE
Crop & Pasture Science,1836-0947,1836-5795,"AGRICULTURE, MULTIDISCIPLINARY",1.9,Q2, 25/58 ,17.38%,SCIE
SCIENTIA AGRICOLA,1678-992X,1678-992X,"AGRICULTURE, MULTIDISCIPLINARY",2.6,Q2, 16/58 ,99.57%,SCIE
PLANT SOIL AND ENVIRONMENT,1214-1178,1805-9368,AGRONOMY,2.4,Q2, 30/88 ,99.58%,SCIE
IRRIGATION SCIENCE,0342-7188,1432-1319,AGRONOMY,3.0,Q1, 21/88 ,15.22%,SCIE
WEED RESEARCH,0043-1737,1365-3180,AGRONOMY,1.7,Q3, 49/88 ,14.18%,SCIE
JOURNAL OF AGRICULTURAL ECONOMICS,0021-857X,1477-9552,AGRICULTURAL ECONOMICS & POLICY,3.4,Q2, 10/22 ,40.74%,SCIE
CANADIAN JOURNAL OF ANIMAL SCIENCE,0008-3984,1918-1825,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",1.0,Q3, 42/62 ,10.17%,SCIE
WAVE MOTION,0165-2125,1878-433X,ACOUSTICS,2.4,Q2, 12/31 ,4.85%,SCIE
